DATA INICIAL,DATA FINAL,REGIAO,ESTADOS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAPA,OLEO DIESEL,14,R$/l,7.26,0.2643050185999933,7.03,7.89,0.03642641935718177
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAZONAS,OLEO DIESEL,31,R$/l,7.35,0.42422275544407,7.09,8.39,0.057714304994272735
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,BAHIA,OLEO DIESEL,162,R$/l,6.96,0.3728453885548034,6.46,8.25,0.05359812478735517
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,CEARA,OLEO DIESEL,29,R$/l,7.42,0.38344690257400177,6.76,8.19,0.051665921084468595
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,DISTRITO FEDERAL,OLEO DIESEL,28,R$/l,7.2,0.23285438372760764,6.98,7.89,0.032328058034376314
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,ESPIRITO SANTO,OLEO DIESEL,36,R$/l,7.12,0.18385597149390676,6.79,7.499,0.025841623840073887
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,GOIAS,OLEO DIESEL,125,R$/l,7.32,0.23588321003028936,6.73,7.94,0.03223352348542835
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,MARANHAO,OLEO DIESEL,56,R$/l,7.2,0.30535629604196385,6.94,7.99,0.0424265779670654
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO,OLEO DIESEL,71,R$/l,7.49,0.2775141158698818,6.95,8.19,0.03704513605295902
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO DO SUL,OLEO DIESEL,58,R$/l,7.17,0.2628072770145162,6.86,7.73,0.03663528138566297
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,MINAS GERAIS,OLEO DIESEL,290,R$/l,7.28,0.23797330920815,6.69,7.95,0.03267276332322194
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,PARANA,OLEO DIESEL,166,R$/l,7,0.23310485867289693,6.59,7.99,0.03328974622593477
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PARAIBA,OLEO DIESEL,29,R$/l,7.17,0.17008618504989645,6.87,7.65,0.02373808661974719
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,PARA,OLEO DIESEL,77,R$/l,7.65,0.37449756726566524,6.99,8.81,0.048953373057877315
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PERNAMBUCO,OLEO DIESEL,12,R$/l,7.18,0.20720908778479294,6.79,7.39,0.02884615631840698
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PIAUI,OLEO DIESEL,25,R$/l,7.35,0.23943127058371738,6.98,7.89,0.03259177672143366
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,RIO DE JANEIRO,OLEO DIESEL,131,R$/l,7.29,0.24199498691808075,6.69,7.96,0.03319756201537748
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,RIO GRANDE DO NORTE,OLEO DIESEL,38,R$/l,7.37,0.23892078953072662,6.99,7.89,0.03241411529491524
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,RIO GRANDE DO SUL,OLEO DIESEL,239,R$/l,7.09,0.29563543922966795,6.5,7.99,0.04167354155726109
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RONDONIA,OLEO DIESEL,60,R$/l,7.62,0.22821377813592564,7.14,8.32,0.029938781682333795
